Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1750 N Bayshore Dr #2803,1 Bed,1 Bath,791 sqft,2007,Garage,Pool,"$303,000",Miami
5901 N Bayshore Dr,5 Beds,7 Baths,"5,229 sqft ",1942,2 Car Garage,No,"$13,750,000",Miami
5040 NE 2nd Ave,,,,,,,"$8,500",Miami
1061 NW North River Dr,6 Beds,7 Baths,"4,691 sqft ",1976,2 Car Garage,No,"$2,500,000",Miami
825 NW 50th St,2 Beds,1 Bath,504 sqft,1939,Open Parking,No,"$215,000",Miami
60 NW 79th St #5,1 Bed,1 Bath,462 sqft,1959,Garage,,"$65,000",Miami
770 NE 69th St #6E,Studio,1 Bath,521 sqft,1965,Garage,Pool,"$185,000",Miami
1750 N Bayshore Dr #2814,2 Beds,2 Baths,"1,048 sqft",2007,1 Car Garage,Pool,"$385,000",Miami
2775 Brickell Ct,5 Beds,6 Baths,"3,285 sqft",2003,2 Car Garage,No,"$2,300,000",Miami
3528 SW 26th St,2 Beds,1 Bath,967 sqft,1924,Open Parking,No,"$450,000",Miami
2333 Brickell Ave #1403,1 Bed,2 Baths,930 sqft,1974,Garage,Pool,"$393,000",Miami
2004 SW 3rd St,2 Beds,1 Bath,"1,188 sqft",1930,2 Car Garage,No,"$275,000",Miami
901 Brickell Key Blvd #2202,1 Bed,2 Baths,"1,076 sqft",2005,1 Car Garage,Pool,"$499,000",Miami
2611 SW 12th St,3 Beds,3 Baths,"1,528 sqft",1938,Open Parking,No,"$799,500",Miami
Address Not Disclosed,2 Beds,2 Baths,940 sqft,2008,Garage,Pool,"$375,000",Miami
41 SE 5th St #317,2 Beds,2 Baths,"1,267 sqft",2006,1 Car Garage,Pool,"$444,900",Miami
3166 Center St,2 Beds,2 Baths,"1,343 sqft",1950,Open Parking,No,"$785,000",Miami
575 Sabal Palm Rd,6 Beds,7 Baths,"6,016 sqft ",2007,2 Car Garage,No,"$6,495,000",Miami
2315 Tequesta Ln,4 Beds,4 Baths,"3,152 sqft",1950,Open Parking,No,"$2,050,000",Miami
Address Not Disclosed,2 Beds,2 Baths,"1,123 sqft",2008,Garage,Pool,"$560,000",Miami
1832 SW 3rd St,3 Beds,2 Baths,"1,608 sqft",1933,Open Parking,No,"$375,000",Miami
900 Brickell Key Blvd #3403,4 Beds,6 Baths,"4,515 sqft",2008,2 Car Garage,Pool,"$25,000,000",Miami
3026 Aviation Ave,3 Beds,2 Baths,"1,382 sqft",1938,Garage,No,"$1,250,000",Miami
421 NW 67th St,4 Beds,2 Baths,"1,277 sqft",1960,Open Parking,No,"$465,000",Miami
1200 Brickell Bay Dr #3404,1 Bed,1 Bath,825 sqft,2005,Garage,Pool,"$350,000",Miami
3564 W Fairview St #B3,3 Beds,4 Baths,"1,850 sqft",1980,2 Car Garage,Pool,"$2,000,000",Miami
60 SW 13th St #3013,1 Bed,2 Baths,705 sqft,2008,Garage,Pool,"$325,000",Miami
3275 Crystal Ct,4 Beds,3 Baths,"2,498 sqft",1949,Garage,No,"$1,999,000",Miami
2695 SW 17th Ave,3 Beds,2 Baths,"1,412 sqft",1947,Open Parking,No,"$949,000",Miami
300 S Biscayne Blvd #T-1404,2 Beds,2 Baths,"1,014 sqft",2008,2 Car Garage,,"$440,000",Miami
1100 S Miami Ave #1604,2 Beds,2 Baths,921 sqft,2015,No Info,Pool,"$455,000",Miami
3187 Hibiscus St,4 Beds,5 Baths,"2,919 sqft",2021,1 Car Garage,No,"$1,500,000",Miami
2520 NW 13th St #307,2 Beds,1 Bath,875 sqft,1970,Garage,Pool,"$220,000",Miami
1625 S Miami Ave,6 Beds,7 Baths,"5,085 sqft",2021,Garage,No,"$4,495,000",Miami
4713 NW 7th St #401-1,2 Beds,2 Baths,782 sqft,1973,No Info,Pool,"$190,000",Miami
111 E Flagler St #405,2 Beds,1 Bath,836 sqft,1951,None,,"$240,000",Miami
2889 McFarlane Rd #4-08,4 Beds,5 Baths,"3,673 sqft",2001,4 Car Garage,Pool,"$3,290,000",Miami
2191 SW 22nd Ter,,,,,,,"$2,500",Miami
1801 NE 4th Ave #404,1 Bed,2 Baths,725 sqft,1974,1 Carport Spaces,Pool,"$209,000",Miami
1010 Brickell Ave #2606,2 Beds,2 Baths,"1,100 sqft",2017,Garage,Pool,"$620,000",Miami
920 N Venetian Dr,3 Beds,3 Baths,"2,744 sqft",1951,Open Parking,No,"$2,499,000",Miami
1900 N Bayshore Dr #514,1 Bed,1 Bath,753 sqft,2008,Garage,Pool,"$360,000",Miami
1815 Fairhaven Pl,4 Beds,4 Baths,"3,665 sqft",1974,1 Car Garage,No,"$2,995,000",Miami
465 Brickell Ave #506,1 Bed,1 Bath,816 sqft,2008,1 Car Garage,Pool,"$415,000",Miami
780 NE 69th St #2105,2 Beds,2 Baths,"1,242 sqft",1982,Garage,,"$410,000",Miami
79 SW 12th St #1906,2 Beds,2 Baths,"1,104 sqft",2008,Garage,,"$460,000",Miami
133 NE 2nd Ave #3102,2 Beds,2 Baths,"1,041 sqft",2007,Garage,Pool,"$375,000",Miami
1606 S Bayshore Dr,6 Beds,7 Baths,"3,973 sqft",2006,Open Parking,No,"$3,299,000",Miami
141 SW 51st Ct,4 Beds,4 Baths,"2,300 sqft",1947,Open Parking,No,"$899,000",Miami
750 NE 64th St #B503,2 Beds,1 Bath,926 sqft,1972,Garage,Pool,"$349,000",Miami
3535 E Fairview St,6 Beds,6 Baths,"4,914 sqft",2004,3 Car Garage,No,"$3,800,000",Miami
520 NE 29th St #703,2 Beds,2 Baths,877 sqft,2007,Garage,Pool,"$315,000",Miami
1140 NE 87th St,3 Beds,3 Baths,"2,123 sqft",1952,Garage,No,"$2,450,000",Miami
637 SW 3rd St #206,2 Beds,2 Baths,731 sqft,2003,Garage,,"$210,000",Miami
60 SW 13th St #2626,3 Beds,3 Baths,"1,386 sqft",2008,Garage,Pool,"$630,000",Miami
555 NE 15th St #520,Studio,1 Bath,400 sqft,1980,Garage,,"$149,000",Miami
690 SW 1st Ct #2716,2 Beds,3 Baths,"1,113 sqft",2006,Garage,,"$414,000",Miami
801 Brickell Key Blvd #1009,3 Beds,3 Baths,"1,488 sqft",2002,Garage,Pool,"$850,000",Miami
3112 Ohio St #3112,3 Beds,3 Baths,"2,400 sqft",2006,1 Car Garage,,"$919,000",Miami
151 SE 15th Rd #201/3,4 Beds,5 Baths,"3,282 sqft",1983,Garage,Pool,"$1,298,000",Miami
329 SW 32nd Rd,3 Beds,2 Baths,"1,548 sqft",1936,Open Parking,No,"$865,000",Miami
140 NW 71st St,,,"1,304 sqft",1956,4 Parking Spaces,,"$258,000",Miami
888 Brickell Key Dr #1207,2 Beds,3 Baths,"1,650 sqft",1995,Garage,Pool,"$969,000",Miami
1800 SW 25th St #2102,1 Bed,1 Bath,611 sqft,1971,Garage,Pool,"$175,000",Miami
600 NE 36th St #801,2 Beds,2 Baths,"1,218 sqft",1973,Garage,Pool,"$379,000",Miami
1000 Biscayne Blvd #5401,5 Beds,7 Baths,"9,200 sqft",2019,Garage,,"$23,000,000",Miami
600 Hibiscus Ln,6 Beds,4 Baths,,2023,2 Car Garage,No,"$3,400,000",Miami
851 NE 1st Ave #2,3 Beds,4 Baths,"2,450 sqft",2019,No Info,,"$3,700,000",Miami
1484 NW 60th St,3 Beds,2 Baths,"1,222 sqft",1935,Garage,No,"$309,900",Miami
1045 NE 84th St,3 Beds,2 Baths,"1,410 sqft",1941,Open Parking,No,"$845,000",Miami
