Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
610 S Percy St #3E,2 Beds,1 Bath,"1,320 sqft",1930,None,Pool,"$424,500",Philadelphia
3621 Calumet St,2 Beds,1 Bath,"1,000 sqft",1939,Open Parking,Pool,"$275,000",Philadelphia
2316 E Cabot St,3 Beds,4 Baths,"5,458 sqft",1924,Open Parking,Pool,"$579,900",Philadelphia
9335 Lansford St,3 Beds,2 Baths,"1,253 sqft",1958,1 Car Garage,No,"$279,900",Philadelphia
102 Church St #304,1 Bed,1 Bath,799 sqft,1978,Open Parking,Pool,"$289,000",Philadelphia
618 S 26th St,2 Beds,2 Baths,"1,020 sqft",1925,None,Pool,"$525,000",Philadelphia
1140 Alcott St,2 Beds,1 Bath,960 sqft,1950,1 Car Garage,Pool,"$175,000",Philadelphia
1426 S Clarion St,2 Beds,2 Baths,"1,060 sqft",1920,Open Parking,No,"$414,900",Philadelphia
3612 Grayton Pl,3 Beds,2 Baths,"1,332 sqft",1955,1 Car Garage,Pool,"$299,000",Philadelphia
2102 Unruh Ave,3 Beds,2 Baths,"1,260 sqft",1950,Open Parking,Pool,"$265,000",Philadelphia
4604 Kingsessing Ave,6 Beds,,"2,498 sqft",1935,Open Parking,Pool,"$599,000",Philadelphia
1815 Christian St,4 Beds,3 Baths,"1,776 sqft",1915,Open Parking,Pool,"$700,000",Philadelphia
220 Federal St,3 Beds,4 Baths,"1,900 sqft",1960,1 Car Garage,Pool,"$589,900",Philadelphia
113 League St,2 Beds,1 Bath,"1,012 sqft",1915,Open Parking,Pool,"$379,000",Philadelphia
601 Alcott St,4 Beds,,"1,184 sqft",1944,2 Open Spaces,Pool,"$210,000",Philadelphia
3419 Hartville St,2 Beds,1 Bath,864 sqft,1935,Open Parking,Pool,"$59,900",Philadelphia
3662 W Crown Ave,3 Beds,2 Baths,"1,480 sqft",1964,1 Car Garage,Pool,"$270,000",Philadelphia
6668 Blakemore St,3 Beds,2 Baths,"1,466 sqft",1950,1 Car Garage,Pool,"$244,900",Philadelphia
139 W Albanus St,3 Beds,1 Bath,"1,200 sqft",1935,Open Parking,Pool,"$135,000",Philadelphia
1236 W 65th Ave,5 Beds,5 Baths,"2,188 sqft ",1925,Garage,No,"$349,900",Philadelphia
2739 Cranston Rd,4 Beds,,"1,828 sqft",1958,2 Car Garage,Pool,"$275,000",Philadelphia
8221 Rowland Ave,3 Beds,2 Baths,"1,313 sqft",1950,2 Open Spaces,No,"$325,000",Philadelphia
