Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
235 London St,4 Beds,5 Baths,"2,509 sqft",1922,Garage,No,"$1,495,000",San Francisco
31-33 Boardman Pl,,,"3,252 sqft",1939,Garage,,"$1,695,000",San Francisco
1880 Bush St,2 Beds,2 Baths,"1,154 sqft",1900,1 Parking Spaces,,"$1,095,000",San Francisco
1470 Noe St,3 Beds,3 Baths,"2,514 sqft",No Info,Attached Garage,No,"$2,895,000",San Francisco
605 Baker St #B,2 Beds,2 Baths,"1,010 sqft",1900,Garage,Pool,"$1,198,000",San Francisco
35 Manzanita Ave,4 Beds,4 Baths,"3,021 sqft",1949,Attached Garage,No,"$3,850,000",San Francisco
1485 38th Ave,4 Beds,2 Baths,"2,046 sqft",1930,Attached Garage,No,"$1,495,000",San Francisco
2840 Fulton St,3 Beds,2 Baths,"1,359 sqft",1921,Attached Garage,No,"$1,699,999",San Francisco
226 27th St #7,2 Beds,1 Bath,,1963,1 Carport Spaces,,"$875,000",San Francisco
20 Oakwood St,4 Beds,3 Baths,"3,160 sqft",1926,Attached Garage,,"$1,995,000",San Francisco
115 Sagamore St,3 Beds,1 Bath,"1,500 sqft",1904,Attached Garage,No,"$889,000",San Francisco
1 Baker St #2A,2 Beds,2 Baths,"1,337 sqft ",1982,Attached Garage,,"$1,195,000",San Francisco
2950 Pacific Ave,8 Beds,13 Baths,"20,000 sqft ",1907,Attached Garage,No,"$29,500,000",San Francisco
1203 Noe St,2 Beds,1 Bath,"1,015 sqft",1907,No Info,,"$995,000",San Francisco
134 Shakespeare St,2 Beds,1 Bath,486 sqft,1924,No Info,No,"$599,500",San Francisco
618 Mangels Ave,3 Beds,3 Baths,"1,920 sqft",1912,No Info,No,"$1,798,000",San Francisco
2351 Bryant St,5 Beds,3 Baths,"3,030 sqft",1900,Garage,No,"$2,495,000",San Francisco
1700 Gough St #2,1 Bed,1 Bath,750 sqft,1980,Attached Garage,Pool,"$749,000",San Francisco
323 21st Ave,5 Beds,4 Baths,"2,660 sqft",1913,Garage,No,"$2,695,000",San Francisco
2828 Vallejo St,8 Beds,9 Baths,"10,345 sqft",1906,Attached Garage,No,"$28,000,000",San Francisco
2815 Pacific Ave,5 Beds,6 Baths,"5,000 sqft",1926,Garage,No,"$10,500,000",San Francisco
2222 Hyde St #4,3 Beds,3 Baths,"2,775 sqft",1920,Attached Garage,,"$4,595,000",San Francisco
730-732 27th Ave,3 Beds,,"1,850 sqft",1922,1 Parking Spaces,No,"$1,095,000",San Francisco
676-678 Ivy St,3 Beds,2 Baths,"1,324 sqft",1890,No Info,,"$990,000",San Francisco
101 Upper Ter,4 Beds,4 Baths,"3,160 sqft",1947,Garage,No,"$5,285,000",San Francisco
164 Pinehurst Way,3 Beds,3 Baths,"1,807 sqft",1936,Garage,No,"$1,895,000",San Francisco
2511 Broadway St,6 Beds,5 Baths,"5,710 sqft",1900,Attached Garage,No,"$9,500,000",San Francisco
1125 Hampshire St,2 Beds,1 Bath,975 sqft,1900,0 Open Spaces,No,"$1,195,000",San Francisco
3977 20th St,3 Beds,3 Baths,"2,511 sqft",1928,Garage,No,"$2,995,000",San Francisco
2327 Fillmore St,5 Beds,8 Baths,"5,390 sqft",1900,Attached Garage,No,"$7,800,000",San Francisco
